"Registry name","Map color (hex)","Map color (int)"
"betterendforge:flavolite_slab","#F7E9A3","16247203"
"betterendforge:flavolite_stairs","#F7E9A3","16247203"
"betterendforge:flavolite_tiles","#F7E9A3","16247203"
"betterendforge:flavolite_wall","#F7E9A3","16247203"
"betterendforge:fracturn","#007C00","31744"
"betterendforge:globulagus","#007C00","31744"
"betterendforge:glowing_pillar_leaves","#007C00","31744"
"betterendforge:glowing_pillar_luminophor","#D87F33","14188339"
"betterendforge:glowing_pillar_roots","#007C00","31744"
"betterendforge:glowing_pillar_seed","#007C00","31744"
"betterendforge:gold_chandelier","#FAEE4D","16445005"
"betterendforge:granite_lantern","#976D4D","9923917"
"betterendforge:granite_pedestal","#976D4D","9923917"
"betterendforge:helix_tree_bark","#D87F33","14188339"
"betterendforge:helix_tree_barrel","#D87F33","14188339"
"betterendforge:helix_tree_bookshelf","#D87F33","14188339"
"betterendforge:helix_tree_button","#D87F33","14188339"
"betterendforge:helix_tree_chest","#D87F33","14188339"
"betterendforge:helix_tree_composter","#D87F33","14188339"
"betterendforge:helix_tree_crafting_table","#D87F33","14188339"
"betterendforge:helix_tree_door","#D87F33","14188339"
"betterendforge:helix_tree_fence","#D87F33","14188339"
"betterendforge:helix_tree_gate","#D87F33","14188339"
"betterendforge:helix_tree_ladder","#D87F33","14188339"
"betterendforge:helix_tree_leaves","#D87F33","14188339"
"betterendforge:helix_tree_log","#D87F33","14188339"
"betterendforge:helix_tree_planks","#D87F33","14188339"
"betterendforge:helix_tree_pressure_plate","#D87F33","14188339"
"betterendforge:helix_tree_sapling","#007C00","31744"
"betterendforge:helix_tree_sign","#D87F33","14188339"
"betterendforge:helix_tree_slab","#D87F33","14188339"
"betterendforge:helix_tree_stairs","#D87F33","14188339"
"betterendforge:helix_tree_stripped_bark","#D87F33","14188339"
"betterendforge:helix_tree_stripped_log","#D87F33","14188339"
"betterendforge:helix_tree_trapdoor","#D87F33","14188339"
"betterendforge:hydralux","#4040FF","4210943"
"betterendforge:hydralux_petal_block","#007C00","31744"
"betterendforge:hydralux_petal_block_black","#191919","1644825"
"betterendforge:hydralux_petal_block_blue","#334CB2","3361970"
"betterendforge:hydralux_petal_block_brown","#664C33","6704179"
"betterendforge:hydralux_petal_block_cyan","#4C7F99","5013401"
"betterendforge:hydralux_petal_block_gray","#4C4C4C","5000268"
"betterendforge:hydralux_petal_block_green","#667F33","6717235"
"betterendforge:hydralux_petal_block_light_blue","#6699D8","6724056"
"betterendforge:hydralux_petal_block_light_gray","#999999","10066329"
"betterendforge:hydralux_petal_block_lime","#7FCC19","8375321"
"betterendforge:hydralux_petal_block_magenta","#B24CD8","11685080"
"betterendforge:hydralux_petal_block_orange","#D87F33","14188339"
"betterendforge:hydralux_petal_block_pink","#F27FA5","15892389"
"betterendforge:hydralux_petal_block_purple","#7F3FB2","8339378"
"betterendforge:hydralux_petal_block_red","#993333","10040115"
"betterendforge:hydralux_petal_block_white","#FFFFFF","16777215"
"betterendforge:hydralux_petal_block_yellow","#E5E533","15066419"
"betterendforge:hydralux_sapling","#4040FF","4210943"
"betterendforge:hydrothermal_vent","#707070","7368816"
"betterendforge:infusion_pedestal","#191919","1644825"
"betterendforge:iron_bulb_lantern","#999999","10066329"
"betterendforge:iron_bulb_lantern_black","#191919","1644825"
"betterendforge:iron_bulb_lantern_blue","#334CB2","3361970"
"betterendforge:iron_bulb_lantern_brown","#664C33","6704179"
"betterendforge:iron_bulb_lantern_cyan","#4C7F99","5013401"
"betterendforge:iron_bulb_lantern_gray","#4C4C4C","5000268"
"betterendforge:iron_bulb_lantern_green","#667F33","6717235"
"betterendforge:iron_bulb_lantern_light_blue","#6699D8","6724056"
"betterendforge:iron_bulb_lantern_light_gray","#999999","10066329"
"betterendforge:iron_bulb_lantern_lime","#7FCC19","8375321"
"betterendforge:iron_bulb_lantern_magenta","#B24CD8","11685080"
"betterendforge:iron_bulb_lantern_orange","#D87F33","14188339"
"betterendforge:iron_bulb_lantern_pink","#F27FA5","15892389"
"betterendforge:iron_bulb_lantern_purple","#7F3FB2","8339378"
"betterendforge:iron_bulb_lantern_red","#993333","10040115"
"betterendforge:iron_bulb_lantern_white","#FFFFFF","16777215"
"betterendforge:iron_bulb_lantern_yellow","#E5E533","15066419"
"betterendforge:iron_chandelier","#A7A7A7","10987431"
"betterendforge:jellyshroom_bark","#6699D8","6724056"
"betterendforge:jellyshroom_barrel","#6699D8","6724056"
"betterendforge:jellyshroom_bookshelf","#6699D8","6724056"
"betterendforge:jellyshroom_button","#6699D8","6724056"
"betterendforge:jellyshroom_cap_purple","#7FB238","8368696"
"betterendforge:jellyshroom_chest","#6699D8","6724056"
"betterendforge:jellyshroom_composter","#6699D8","6724056"
"betterendforge:jellyshroom_crafting_table","#6699D8","6724056"
"betterendforge:jellyshroom_door","#6699D8","6724056"
"betterendforge:jellyshroom_fence","#6699D8","6724056"
"betterendforge:jellyshroom_gate","#6699D8","6724056"
"betterendforge:jellyshroom_ladder","#6699D8","6724056"
"betterendforge:jellyshroom_log","#6699D8","6724056"
"betterendforge:jellyshroom_planks","#6699D8","6724056"
"betterendforge:jellyshroom_pressure_plate","#6699D8","6724056"
"betterendforge:jellyshroom_sign","#6699D8","6724056"
"betterendforge:jellyshroom_slab","#6699D8","6724056"
"betterendforge:jellyshroom_stairs","#6699D8","6724056"
"betterendforge:jellyshroom_stripped_bark","#6699D8","6724056"
"betterendforge:jellyshroom_stripped_log","#6699D8","6724056"
"betterendforge:jellyshroom_trapdoor","#6699D8","6724056"
"betterendforge:jungle_fern","#007C00","31744"
"betterendforge:jungle_grass","#007C00","31744"
"betterendforge:jungle_moss","#D87F33","14188339"
"betterendforge:jungle_moss_path","#D87F33","14188339"
"betterendforge:jungle_vine","#007C00","31744"
"betterendforge:lacugrove_bark","#E5E533","15066419"
"betterendforge:lacugrove_barrel","#E5E533","15066419"
"betterendforge:lacugrove_bookshelf","#E5E533","15066419"
"betterendforge:lacugrove_button","#E5E533","15066419"
"betterendforge:lacugrove_chest","#E5E533","15066419"
"betterendforge:lacugrove_composter","#E5E533","15066419"
"betterendforge:lacugrove_crafting_table","#E5E533","15066419"
"betterendforge:lacugrove_door","#E5E533","15066419"
"betterendforge:lacugrove_fence","#E5E533","15066419"
"betterendforge:lacugrove_gate","#E5E533","15066419"
"betterendforge:lacugrove_ladder","#E5E533","15066419"
"betterendforge:lacugrove_leaves","#4C7F99","5013401"
"betterendforge:lacugrove_log","#E5E533","15066419"
"betterendforge:lacugrove_planks","#E5E533","15066419"
"betterendforge:lacugrove_pressure_plate","#E5E533","15066419"
"betterendforge:lacugrove_sapling","#007C00","31744"
"betterendforge:lacugrove_sign","#E5E533","15066419"
"betterendforge:lacugrove_slab","#E5E533","15066419"
"betterendforge:lacugrove_stairs","#E5E533","15066419"
"betterendforge:lacugrove_stripped_bark","#E5E533","15066419"
"betterendforge:lacugrove_stripped_log","#E5E533","15066419"
"betterendforge:lacugrove_trapdoor","#E5E533","15066419"
"betterendforge:lamellarium","#007C00","31744"
"betterendforge:lanceleaf","#007C00","31744"
"betterendforge:lanceleaf_seed","#007C00","31744"
"betterendforge:large_amaranita_mushroom","#007C00","31744"
"betterendforge:lucernia_bark","#D87F33","14188339"
"betterendforge:lucernia_barrel","#D87F33","14188339"
"betterendforge:lucernia_bookshelf","#D87F33","14188339"
"betterendforge:lucernia_button","#D87F33","14188339"
"betterendforge:lucernia_chest","#D87F33","14188339"
"betterendforge:lucernia_composter","#D87F33","14188339"
"betterendforge:lucernia_crafting_table","#D87F33","14188339"
"betterendforge:lucernia_door","#D87F33","14188339"
"betterendforge:lucernia_fence","#D87F33","14188339"
"betterendforge:lucernia_gate","#D87F33","14188339"
"betterendforge:lucernia_ladder","#D87F33","14188339"
"betterendforge:lucernia_leaves","#D87F33","14188339"
"betterendforge:lucernia_log","#D87F33","14188339"
"betterendforge:lucernia_outer_leaves","#D87F33","14188339"
"betterendforge:lucernia_planks","#D87F33","14188339"
"betterendforge:lucernia_pressure_plate","#D87F33","14188339"
"betterendforge:lucernia_sapling","#007C00","31744"
"betterendforge:lucernia_sign","#D87F33","14188339"
"betterendforge:lucernia_slab","#D87F33","14188339"
"betterendforge:lucernia_stairs","#D87F33","14188339"
"betterendforge:lucernia_stripped_bark","#D87F33","14188339"
"betterendforge:lucernia_stripped_log","#D87F33","14188339"
"betterendforge:lucernia_trapdoor","#D87F33","14188339"
"betterendforge:lumecorn","#8F7748","9402184"
"betterendforge:lumecorn_seed","#007C00","31744"
"betterendforge:lutebus","#007C00","31744"
"betterendforge:menger_sponge","#E5E533","15066419"
"betterendforge:menger_sponge_wet","#E5E533","15066419"
"betterendforge:missing_tile","#F7E9A3","16247203"
"betterendforge:mossy_dragon_bone","#F7E9A3","16247203"
"betterendforge:mossy_glowshroom_bark","#8F7748","9402184"
"betterendforge:mossy_glowshroom_barrel","#8F7748","9402184"
"betterendforge:mossy_glowshroom_bookshelf","#8F7748","9402184"
"betterendforge:mossy_glowshroom_button","#8F7748","9402184"
"betterendforge:mossy_glowshroom_cap","#8F7748","9402184"
"betterendforge:mossy_glowshroom_chest","#8F7748","9402184"
"betterendforge:mossy_glowshroom_composter","#8F7748","9402184"
"betterendforge:mossy_glowshroom_crafting_table","#8F7748","9402184"
"betterendforge:mossy_glowshroom_door","#8F7748","9402184"
"betterendforge:mossy_glowshroom_fence","#8F7748","9402184"
"betterendforge:mossy_glowshroom_fur","#007C00","31744"
"betterendforge:mossy_glowshroom_gate","#8F7748","9402184"
"betterendforge:mossy_glowshroom_hymenophore","#8F7748","9402184"
"betterendforge:mossy_glowshroom_ladder","#8F7748","9402184"
"betterendforge:mossy_glowshroom_log","#8F7748","9402184"
"betterendforge:mossy_glowshroom_planks","#8F7748","9402184"
"betterendforge:mossy_glowshroom_pressure_plate","#8F7748","9402184"
"betterendforge:mossy_glowshroom_sapling","#007C00","31744"
"betterendforge:mossy_glowshroom_sign","#8F7748","9402184"
"betterendforge:mossy_glowshroom_slab","#8F7748","9402184"
"betterendforge:mossy_glowshroom_stairs","#8F7748","9402184"
"betterendforge:mossy_glowshroom_stripped_bark","#8F7748","9402184"
"betterendforge:mossy_glowshroom_stripped_log","#8F7748","9402184"
"betterendforge:mossy_glowshroom_trapdoor","#8F7748","9402184"
"betterendforge:mossy_obsidian","#191919","1644825"
"betterendforge:murkweed","#007C00","31744"
"betterendforge:needlegrass","#007C00","31744"
"betterendforge:neon_cactus","#007C00","31744"
"betterendforge:neon_cactus_block","#007C00","31744"
"betterendforge:neon_cactus_slab","#007C00","31744"
"betterendforge:neon_cactus_stairs","#007C00","31744"
"betterendforge:orango","#007C00","31744"
"betterendforge:pink_moss","#F27FA5","15892389"
"betterendforge:pink_moss_path","#F27FA5","15892389"
"betterendforge:pond_anemone","#4040FF","4210943"
"betterendforge:potted_dragon_tree_sapling","#000000","0"
"betterendforge:potted_helix_tree_sapling","#000000","0"
"betterendforge:potted_lacugrove_sapling","#000000","0"
"betterendforge:potted_mossy_glowshroom_sapling","#000000","0"
"betterendforge:potted_pythadendron_sapling","#000000","0"
"betterendforge:potted_tenanea_sapling","#000000","0"
"betterendforge:potted_umbrella_tree_sapling","#000000","0"
"betterendforge:purple_polypore","#007C00","31744"
"betterendforge:purpur_lantern","#B24CD8","11685080"
"betterendforge:purpur_pedestal","#B24CD8","11685080"
"betterendforge:pythadendron_bark","#7F3FB2","8339378"
"betterendforge:pythadendron_barrel","#7F3FB2","8339378"
"betterendforge:pythadendron_bookshelf","#7F3FB2","8339378"
"betterendforge:pythadendron_button","#7F3FB2","8339378"
"betterendforge:pythadendron_chest","#7F3FB2","8339378"
"betterendforge:pythadendron_composter","#7F3FB2","8339378"
"betterendforge:pythadendron_crafting_table","#7F3FB2","8339378"
"betterendforge:pythadendron_door","#7F3FB2","8339378"
"betterendforge:pythadendron_fence","#7F3FB2","8339378"
"betterendforge:pythadendron_gate","#7F3FB2","8339378"
"betterendforge:pythadendron_ladder","#7F3FB2","8339378"
"betterendforge:pythadendron_leaves","#B24CD8","11685080"
"betterendforge:pythadendron_log","#7F3FB2","8339378"
"betterendforge:pythadendron_planks","#7F3FB2","8339378"
"betterendforge:pythadendron_pressure_plate","#7F3FB2","8339378"
"betterendforge:pythadendron_sapling","#007C00","31744"
"betterendforge:pythadendron_sign","#7F3FB2","8339378"
"betterendforge:pythadendron_slab","#7F3FB2","8339378"
"betterendforge:pythadendron_stairs","#7F3FB2","8339378"
"betterendforge:pythadendron_stripped_bark","#7F3FB2","8339378"
"betterendforge:pythadendron_stripped_log","#7F3FB2","8339378"
"betterendforge:pythadendron_trapdoor","#7F3FB2","8339378"
"betterendforge:quartz_lantern","#FFFCF5","16776437"
"betterendforge:quartz_pedestal","#FFFCF5","16776437"
"betterendforge:respawn_obelisk","#F7E9A3","16247203"
"betterendforge:rubinea","#007C00","31744"
"betterendforge:ruscus","#007C00","31744"
"betterendforge:rutiscus","#D87F33","14188339"
"betterendforge:rutiscus_path","#D87F33","14188339"
"betterendforge:salteago","#007C00","31744"
"betterendforge:sangnum","#993333","10040115"
"betterendforge:sangnum_path","#993333","10040115"
"betterendforge:shadow_berry","#007C00","31744"
"betterendforge:shadow_grass","#191919","1644825"
"betterendforge:shadow_grass_path","#191919","1644825"
"betterendforge:shadow_plant","#007C00","31744"
"betterendforge:silk_moth_nest","#C7C7C7","13092807"
"betterendforge:small_amaranita_mushroom","#007C00","31744"
"betterendforge:small_jellyshroom","#007C00","31744"
"betterendforge:smaragdant_crystal","#667F33","6717235"
"betterendforge:smaragdant_crystal_shard","#667F33","6717235"
"betterendforge:sulphur_crystal","#E5E533","15066419"
"betterendforge:sulphuric_rock","#664C33","6704179"
"betterendforge:sulphuric_rock_bricks","#664C33","6704179"
"betterendforge:sulphuric_rock_bricks_slab","#664C33","6704179"
"betterendforge:sulphuric_rock_bricks_stairs","#664C33","6704179"
"betterendforge:sulphuric_rock_bricks_wall","#664C33","6704179"
"betterendforge:sulphuric_rock_button","#664C33","6704179"
"betterendforge:sulphuric_rock_furnace","#664C33","6704179"
"betterendforge:sulphuric_rock_lantern","#664C33","6704179"
"betterendforge:sulphuric_rock_pedestal","#664C33","6704179"
"betterendforge:sulphuric_rock_pillar","#664C33","6704179"
"betterendforge:sulphuric_rock_polished","#664C33","6704179"
"betterendforge:sulphuric_rock_pressure_plate","#664C33","6704179"
"betterendforge:sulphuric_rock_slab","#664C33","6704179"
"betterendforge:sulphuric_rock_stairs","#664C33","6704179"
"betterendforge:sulphuric_rock_tiles","#664C33","6704179"
"betterendforge:sulphuric_rock_wall","#664C33","6704179"
"betterendforge:tail_moss","#007C00","31744"
"betterendforge:tenanea_bark","#F27FA5","15892389"
"betterendforge:tenanea_barrel","#F27FA5","15892389"
"betterendforge:tenanea_bookshelf","#F27FA5","15892389"
"betterendforge:tenanea_button","#F27FA5","15892389"
"betterendforge:tenanea_chest","#F27FA5","15892389"
"betterendforge:tenanea_composter","#F27FA5","15892389"
"betterendforge:tenanea_crafting_table","#F27FA5","15892389"
"betterendforge:tenanea_door","#F27FA5","15892389"
"betterendforge:tenanea_fence","#F27FA5","15892389"
"betterendforge:tenanea_flowers","#007C00","31744"
"betterendforge:tenanea_gate","#F27FA5","15892389"
"betterendforge:tenanea_ladder","#F27FA5","15892389"
"betterendforge:tenanea_leaves","#F27FA5","15892389"
"betterendforge:tenanea_log","#F27FA5","15892389"
"betterendforge:tenanea_outer_leaves","#007C00","31744"
"betterendforge:tenanea_planks","#F27FA5","15892389"
"betterendforge:tenanea_pressure_plate","#F27FA5","15892389"
"betterendforge:tenanea_sapling","#007C00","31744"
"betterendforge:tenanea_sign","#F27FA5","15892389"
"betterendforge:tenanea_slab","#F27FA5","15892389"
"betterendforge:tenanea_stairs","#F27FA5","15892389"
"betterendforge:tenanea_stripped_bark","#F27FA5","15892389"
"betterendforge:tenanea_stripped_log","#F27FA5","15892389"
"betterendforge:tenanea_trapdoor","#F27FA5","15892389"
"betterendforge:terminite_anvil","#667F33","6717235"
"betterendforge:terminite_bars","#667F33","6717235"
"betterendforge:terminite_block","#667F33","6717235"
"betterendforge:terminite_bulb_lantern","#667F33","6717235"
"betterendforge:terminite_bulb_lantern_black","#191919","1644825"
"betterendforge:terminite_bulb_lantern_blue","#334CB2","3361970"
"betterendforge:terminite_bulb_lantern_brown","#664C33","6704179"
"betterendforge:terminite_bulb_lantern_cyan","#4C7F99","5013401"
"betterendforge:terminite_bulb_lantern_gray","#4C4C4C","5000268"
"betterendforge:terminite_bulb_lantern_green","#667F33","6717235"
"betterendforge:terminite_bulb_lantern_light_blue","#6699D8","6724056"
"betterendforge:terminite_bulb_lantern_light_gray","#999999","10066329"
"betterendforge:terminite_bulb_lantern_lime","#7FCC19","8375321"
"betterendforge:terminite_bulb_lantern_magenta","#B24CD8","11685080"
"betterendforge:terminite_bulb_lantern_orange","#D87F33","14188339"
"betterendforge:terminite_bulb_lantern_pink","#F27FA5","15892389"
"betterendforge:terminite_bulb_lantern_purple","#7F3FB2","8339378"
"betterendforge:terminite_bulb_lantern_red","#993333","10040115"
"betterendforge:terminite_bulb_lantern_white","#FFFFFF","16777215"
"betterendforge:terminite_bulb_lantern_yellow","#E5E533","15066419"
"betterendforge:terminite_chain","#667F33","6717235"
"betterendforge:terminite_chandelier","#667F33","6717235"
"betterendforge:terminite_door","#667F33","6717235"
"betterendforge:terminite_pressure_plate","#667F33","6717235"
"betterendforge:terminite_slab","#667F33","6717235"
"betterendforge:terminite_stairs","#667F33","6717235"
"betterendforge:terminite_tile","#667F33","6717235"
"betterendforge:terminite_trapdoor","#667F33","6717235"
"betterendforge:thallasium_anvil","#334CB2","3361970"
"betterendforge:thallasium_bars","#334CB2","3361970"
"betterendforge:thallasium_block","#334CB2","3361970"
"betterendforge:thallasium_bulb_lantern","#334CB2","3361970"
"betterendforge:thallasium_bulb_lantern_black","#191919","1644825"
"betterendforge:thallasium_bulb_lantern_blue","#334CB2","3361970"
"betterendforge:thallasium_bulb_lantern_brown","#664C33","6704179"
"betterendforge:thallasium_bulb_lantern_cyan","#4C7F99","5013401"
"betterendforge:thallasium_bulb_lantern_gray","#4C4C4C","5000268"
"betterendforge:thallasium_bulb_lantern_green","#667F33","6717235"
"betterendforge:thallasium_bulb_lantern_light_blue","#6699D8","6724056"
"betterendforge:thallasium_bulb_lantern_light_gray","#999999","10066329"
"betterendforge:thallasium_bulb_lantern_lime","#7FCC19","8375321"
"betterendforge:thallasium_bulb_lantern_magenta","#B24CD8","11685080"
"betterendforge:thallasium_bulb_lantern_orange","#D87F33","14188339"
"betterendforge:thallasium_bulb_lantern_pink","#F27FA5","15892389"
"betterendforge:thallasium_bulb_lantern_purple","#7F3FB2","8339378"
"betterendforge:thallasium_bulb_lantern_red","#993333","10040115"
"betterendforge:thallasium_bulb_lantern_white","#FFFFFF","16777215"
"betterendforge:thallasium_bulb_lantern_yellow","#E5E533","15066419"
"betterendforge:thallasium_chain","#334CB2","3361970"
"betterendforge:thallasium_chandelier","#334CB2","3361970"
"betterendforge:thallasium_door","#334CB2","3361970"
"betterendforge:thallasium_ore","#F7E9A3","16247203"
"betterendforge:thallasium_pressure_plate","#334CB2","3361970"
"betterendforge:thallasium_slab","#334CB2","3361970"
"betterendforge:thallasium_stairs","#334CB2","3361970"
"betterendforge:thallasium_tile","#334CB2","3361970"
"betterendforge:thallasium_trapdoor","#334CB2","3361970"
"betterendforge:tube_worm","#4040FF","4210943"
"betterendforge:twisted_moss","#007C00","31744"
"betterendforge:twisted_umbrella_moss","#007C00","31744"
"betterendforge:twisted_umbrella_moss_tall","#007C00","31744"
"betterendforge:twisted_vine","#007C00","31744"
"betterendforge:umbrella_moss","#007C00","31744"
"betterendforge:umbrella_moss_tall","#007C00","31744"
"betterendforge:umbrella_tree_bark","#667F33","6717235"
"betterendforge:umbrella_tree_barrel","#667F33","6717235"
"betterendforge:umbrella_tree_bookshelf","#667F33","6717235"
"betterendforge:umbrella_tree_button","#667F33","6717235"
"betterendforge:umbrella_tree_chest","#667F33","6717235"
"betterendforge:umbrella_tree_cluster","#7F3FB2","8339378"
"betterendforge:umbrella_tree_cluster_empty","#7F3FB2","8339378"
"betterendforge:umbrella_tree_composter","#667F33","6717235"
"betterendforge:umbrella_tree_crafting_table","#667F33","6717235"
"betterendforge:umbrella_tree_door","#667F33","6717235"
"betterendforge:umbrella_tree_fence","#667F33","6717235"
"betterendforge:umbrella_tree_gate","#667F33","6717235"
"betterendforge:umbrella_tree_ladder","#667F33","6717235"
"betterendforge:umbrella_tree_log","#667F33","6717235"
"betterendforge:umbrella_tree_membrane","#7FB238","8368696"
"betterendforge:umbrella_tree_planks","#667F33","6717235"
"betterendforge:umbrella_tree_pressure_plate","#667F33","6717235"
"betterendforge:umbrella_tree_sapling","#007C00","31744"
"betterendforge:umbrella_tree_sign","#667F33","6717235"
"betterendforge:umbrella_tree_slab","#667F33","6717235"
"betterendforge:umbrella_tree_stairs","#667F33","6717235"
"betterendforge:umbrella_tree_stripped_bark","#667F33","6717235"
"betterendforge:umbrella_tree_stripped_log","#667F33","6717235"
"betterendforge:umbrella_tree_trapdoor","#667F33","6717235"
"betterendforge:vaiolush_fern","#007C00","31744"
"betterendforge:vent_bubble_column","#4040FF","4210943"
"betterendforge:violecite","#7F3FB2","8339378"
"betterendforge:violecite_bricks","#7F3FB2","8339378"
"betterendforge:violecite_bricks_slab","#7F3FB2","8339378"
"betterendforge:violecite_bricks_stairs","#7F3FB2","8339378"
"betterendforge:violecite_bricks_wall","#7F3FB2","8339378"
"betterendforge:violecite_button","#7F3FB2","8339378"
"betterendforge:violecite_furnace","#7F3FB2","8339378"
"betterendforge:violecite_lantern","#7F3FB2","8339378"
"betterendforge:violecite_pedestal","#7F3FB2","8339378"
"betterendforge:violecite_pillar","#7F3FB2","8339378"
"betterendforge:violecite_polished","#7F3FB2","8339378"
"betterendforge:violecite_pressure_plate","#7F3FB2","8339378"
"betterendforge:violecite_slab","#7F3FB2","8339378"
"betterendforge:violecite_stairs","#7F3FB2","8339378"
"betterendforge:violecite_tiles","#7F3FB2","8339378"
"betterendforge:violecite_wall","#7F3FB2","8339378"
"biomesoplenty:barley","#BA8524","12223780"
"biomesoplenty:black_sand","#191919","1644825"
"biomesoplenty:black_sandstone","#191919","1644825"
"biomesoplenty:black_sandstone_slab","#191919","1644825"
"biomesoplenty:black_sandstone_stairs","#191919","1644825"
"biomesoplenty:black_sandstone_wall","#191919","1644825"
"biomesoplenty:blue_hydrangea","#007C00","31744"
"biomesoplenty:bramble","#700200","7340544"
"biomesoplenty:burning_blossom","#007C00","31744"
"biomesoplenty:bush","#007C00","31744"
"biomesoplenty:cattail","#976D4D","9923917"
"biomesoplenty:cherry_button","#000000","0"
"biomesoplenty:cherry_door","#993333","10040115"
"biomesoplenty:cherry_fence","#993333","10040115"
"biomesoplenty:cherry_fence_gate","#993333","10040115"
"biomesoplenty:cherry_log","#993333","10040115"
"biomesoplenty:cherry_planks","#993333","10040115"
"biomesoplenty:cherry_pressure_plate","#993333","10040115"
"biomesoplenty:cherry_slab","#993333","10040115"
"biomesoplenty:cherry_stairs","#993333","10040115"
"biomesoplenty:cherry_trapdoor","#993333","10040115"
"biomesoplenty:cherry_wood","#993333","10040115"
"biomesoplenty:chiseled_black_sandstone","#191919","1644825"
"biomesoplenty:chiseled_orange_sandstone","#D87F33","14188339"
"biomesoplenty:chiseled_white_sandstone","#FFFCF5","16776437"
"biomesoplenty:clover","#007C00","31744"
"biomesoplenty:cut_black_sandstone","#191919","1644825"
"biomesoplenty:cut_black_sandstone_slab","#191919","1644825"
"biomesoplenty:cut_orange_sandstone","#D87F33","14188339"
"biomesoplenty:cut_orange_sandstone_slab","#D87F33","14188339"
"biomesoplenty:cut_white_sandstone","#FFFCF5","16776437"
"biomesoplenty:cut_white_sandstone_slab","#FFFCF5","16776437"
"biomesoplenty:dead_branch","#4C4C4C","5000268"
"biomesoplenty:dead_button","#000000","0"
"biomesoplenty:dead_door","#707070","7368816"
"biomesoplenty:dead_fence","#707070","7368816"
"biomesoplenty:dead_fence_gate","#707070","7368816"
"biomesoplenty:dead_grass","#8F7748","9402184"
"biomesoplenty:dead_leaves","#8F7748","9402184"
"biomesoplenty:dead_log","#707070","7368816"
"biomesoplenty:dead_planks","#707070","7368816"
"biomesoplenty:dead_pressure_plate","#707070","7368816"
"biomesoplenty:dead_sapling","#007C00","31744"
"biomesoplenty:dead_slab","#707070","7368816"
"biomesoplenty:dead_stairs","#707070","7368816"
"biomesoplenty:dead_trapdoor","#707070","7368816"
"biomesoplenty:dead_wood","#707070","7368816"
"biomesoplenty:desert_grass","#9F5224","10441252"
"biomesoplenty:dried_salt","#8F7748","9402184"
"biomesoplenty:dune_grass","#677535","6780213"
"biomesoplenty:fir_button","#000000","0"
"biomesoplenty:fir_door","#D1B1A1","13742497"
"biomesoplenty:fir_fence","#D1B1A1","13742497"
"biomesoplenty:fir_fence_gate","#D1B1A1","13742497"
"biomesoplenty:fir_leaves","#007C00","31744"
"biomesoplenty:fir_log","#D1B1A1","13742497"
"biomesoplenty:fir_planks","#D1B1A1","13742497"
"biomesoplenty:fir_pressure_plate","#D1B1A1","13742497"
"biomesoplenty:fir_sapling","#007C00","31744"
"biomesoplenty:fir_slab","#D1B1A1","13742497"
"biomesoplenty:fir_stairs","#D1B1A1","13742497"
"biomesoplenty:fir_trapdoor","#D1B1A1","13742497"
"biomesoplenty:fir_wood","#D1B1A1","13742497"
"biomesoplenty:flesh","#8E3C2E","9321518"
"biomesoplenty:flowering_oak_leaves","#007C00","31744"
"biomesoplenty:flowering_oak_sapling","#007C00","31744"
"biomesoplenty:glowflower","#007C00","31744"
"biomesoplenty:glowshroom","#5CDBD5","6085589"
"biomesoplenty:glowshroom_block","#5CDBD5","6085589"
"biomesoplenty:goldenrod","#007C00","31744"
"biomesoplenty:hellbark_button","#000000","0"
"biomesoplenty:hellbark_door","#392923","3746083"
"biomesoplenty:hellbark_fence","#392923","3746083"
"biomesoplenty:hellbark_fence_gate","#392923","3746083"
"biomesoplenty:hellbark_leaves","#7A4958","8014168"
"biomesoplenty:hellbark_log","#392923","3746083"
"biomesoplenty:hellbark_planks","#392923","3746083"
"biomesoplenty:hellbark_pressure_plate","#392923","3746083"
"biomesoplenty:hellbark_sapling","#007C00","31744"
"biomesoplenty:hellbark_slab","#392923","3746083"
"biomesoplenty:hellbark_stairs","#392923","3746083"
"biomesoplenty:hellbark_trapdoor","#392923","3746083"
"biomesoplenty:hellbark_wood","#392923","3746083"
"biomesoplenty:huge_clover_petal","#007C00","31744"
"biomesoplenty:jacaranda_button","#000000","0"
"biomesoplenty:jacaranda_door","#D1B1A1","13742497"
"biomesoplenty:jacaranda_fence","#D1B1A1","13742497"
"biomesoplenty:jacaranda_fence_gate","#D1B1A1","13742497"
"biomesoplenty:jacaranda_leaves","#7F3FB2","8339378"
"biomesoplenty:jacaranda_log","#D1B1A1","13742497"
"biomesoplenty:jacaranda_planks","#D1B1A1","13742497"
"biomesoplenty:jacaranda_pressure_plate","#D1B1A1","13742497"
"biomesoplenty:jacaranda_sapling","#007C00","31744"
"biomesoplenty:jacaranda_slab","#D1B1A1","13742497"
"biomesoplenty:jacaranda_stairs","#D1B1A1","13742497"
"biomesoplenty:jacaranda_trapdoor","#D1B1A1","13742497"
"biomesoplenty:jacaranda_wood","#D1B1A1","13742497"
"biomesoplenty:lavender","#B24CD8","11685080"
"biomesoplenty:magic_button","#000000","0"
"biomesoplenty:magic_door","#334CB2","3361970"
"biomesoplenty:magic_fence","#334CB2","3361970"
"biomesoplenty:magic_fence_gate","#334CB2","3361970"
"biomesoplenty:magic_leaves","#4C7F99","5013401"
