"ID","Registry name","Temp.","RainType","Downfall","BiomeTypes","BiomeDictionary Types"
256,"byg:snowy_evergreen_clearing",-0.50,snow,"0.80","","CONIFEROUS, FOREST, OVERWORLD, SNOWY"
257,"byg:snowy_evergreen_hills",-0.50,snow,"0.80","","CONIFEROUS, FOREST, OVERWORLD, SNOWY"
258,"byg:enchanted_forest_hills",0.75,rain,"0.80","","FOREST, HILLS, MAGICAL, OVERWORLD, RARE"
259,"byg:ebony_hills",0.80,rain,"0.80","","DENSE, FOREST, HILLS, OVERWORLD"
260,"byg:evergreen_clearing",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, OVERWORLD"
261,"byg:evergreen_hills",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, HILLS, OVERWORLD"
262,"byg:fungal_patch",0.95,rain,"0.90","","DENSE, HOT, JUNGLE, MAGICAL, OVERWORLD"
263,"byg:weeping_witch_clearing",0.25,rain,"0.80","","COLD, FOREST, MAGICAL, OVERWORLD, RARE"
264,"byg:pumpkin_forest",0.25,rain,"0.80","","COLD, FOREST, MAGICAL, OVERWORLD, RARE"
265,"byg:bamboo_forest",0.70,rain,"0.80","","DENSE, FOREST, OVERWORLD"
266,"byg:cherry_blossom_clearing",0.70,rain,"0.80","","FOREST, OVERWORLD"
267,"byg:coniferous_clearing",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, OVERWORLD"
268,"byg:zelkova_clearing",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, OVERWORLD"
269,"byg:aspen_clearing",0.70,rain,"0.60","","FOREST, OVERWORLD"
270,"byg:boreal_clearing",0.25,rain,"0.80","","CONIFEROUS, FOREST, OVERWORLD"
271,"byg:deciduous_clearing",0.70,rain,"0.50","","FOREST, OVERWORLD"
272,"byg:seasonal_deciduous_clearing",0.80,rain,"0.50","","FOREST, OVERWORLD"
273,"byg:guiana_clearing",0.95,rain,"0.90","","FOREST, JUNGLE, OVERWORLD"
274,"byg:jacaranda_clearing",0.95,rain,"0.50","","FOREST, JUNGLE, OVERWORLD"
275,"byg:snowy_coniferous_clearing",-0.50,snow,"0.80","","CONIFEROUS, FOREST, OVERWORLD, SNOWY"
276,"byg:snowy_deciduous_clearing",-0.50,snow,"0.80","","FOREST, OVERWORLD, SNOWY"
277,"byg:maple_hills",0.25,rain,"0.80","","COLD, FOREST, HILLS, OVERWORLD"
278,"byg:black_forest_clearing",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, OVERWORLD"
279,"byg:black_forest_hills",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, HILLS, OVERWORLD"
280,"byg:forest_fault",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, OVERWORLD, RARE"
281,"byg:flowering_grove",0.75,rain,"0.80","","LUSH, OVERWORLD, PLAINS"
282,"byg:flowering_enchanted_grove",0.75,rain,"0.80","","LUSH, MAGICAL, OVERWORLD, PLAINS"
283,"byg:northern_forest",-0.15,snow,"0.40","","COLD, FOREST, LUSH, OVERWORLD, SNOWY"
284,"byg:lush_red_desert",2.00,-,"0.00","","DRY, HOT, OVERWORLD, SANDY"
285,"byg:sierra_range",1.20,rain,"0.10","","DRY, HOT, MOUNTAIN, OVERWORLD"
286,"byg:alpine_foothills",-0.25,snow,"0.60","","COLD, HILLS, OVERWORLD, SNOWY"
287,"byg:aspen_forest_hills",0.70,rain,"0.60","","FOREST, HILLS, OVERWORLD"
288,"byg:blue_taiga_hills",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, HILLS, OVERWORLD"
289,"byg:blue_giant_taiga",0.25,rain,"0.80","","OVERWORLD, RARE"
290,"byg:bluff_peaks",0.25,snow,"0.50","","COLD, MOUNTAIN, OVERWORLD, SNOWY"
291,"byg:boreal_forest_hills",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, HILLS, OVERWORLD"
292,"byg:bog",0.25,rain,"0.80","","OVERWORLD, SWAMP, WATER, WET"
293,"byg:deciduous_forest_hills",0.70,rain,"0.50","","FOREST, HILLS, OVERWORLD"
294,"byg:coniferous_forest_hills",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, HILLS, OVERWORLD"
295,"byg:fresh_water_lake",0.80,rain,"0.80","","OVERWORLD, WATER, WET"
296,"byg:frozen_lake",0.00,snow,"0.80","","OVERWORLD, SNOWY, WATER, WET"
297,"byg:great_lake_isles",0.80,rain,"0.20","","CONIFEROUS, OVERWORLD"
298,"byg:jacaranda_forest_hills",0.95,rain,"0.50","","DENSE, FOREST, HILLS, HOT, JUNGLE, OVERWORLD"
299,"byg:marshlands",0.80,rain,"0.80","","OVERWORLD, SWAMP, WATER, WET"
300,"byg:oasis",0.80,-,"0.80","","HOT, LUSH, OVERWORLD, SANDY, WATER, WET"
301,"byg:polluted_lake",0.80,rain,"0.80","","OVERWORLD, WASTELAND, WATER, WET"
302,"byg:prairie_clearing",0.80,rain,"0.20","","DRY, OVERWORLD, PLAINS, SPARSE"
303,"byg:red_oak_forest_hills",0.80,rain,"0.90","","FOREST, HILLS, OVERWORLD"
304,"byg:red_rock_lowlands",1.20,rain,"0.10","","HOT, OVERWORLD"
305,"byg:red_rock_highlands",1.20,rain,"0.10","","HOT, MOUNTAIN, OVERWORLD"
306,"byg:wooded_red_rock_mountains",1.20,rain,"0.10","","DRY, HOT, MOUNTAIN, OVERWORLD"
307,"byg:seasonal_birch_forest_hills",0.25,rain,"0.90","","COLD, FOREST, HILLS, OVERWORLD"
308,"byg:seasonal_deciduous_forest_hills",0.80,rain,"0.50","","FOREST, HILLS, OVERWORLD"
309,"byg:seasonal_forest_hills",0.25,rain,"0.90","","COLD, FOREST, OVERWORLD"
310,"byg:seasonal_giant_taiga",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, OVERWORLD"
311,"byg:seasonal_taiga_hills",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, OVERWORLD"
312,"byg:snowy_blue_giant_taiga",-0.50,snow,"0.80","","CONIFEROUS, FOREST, OVERWORLD, RARE, SNOWY"
313,"byg:snowy_blue_taiga_hills",-0.50,snow,"0.80","","COLD, CONIFEROUS, FOREST, OVERWORLD, SNOWY"
314,"byg:snowy_coniferous_forest_hills",-0.50,snow,"0.80","","CONIFEROUS, FOREST, HILLS, OVERWORLD, SNOWY"
315,"byg:snowy_deciduous_forest_hills",-0.50,snow,"0.80","","FOREST, HILLS, OVERWORLD, SNOWY"
316,"byg:tropical_fungal_rainforest_hills",0.95,rain,"0.90","","DENSE, HILLS, HOT, JUNGLE, MAGICAL, OVERWORLD"
317,"byg:tropical_rainforest_hills",0.95,rain,"0.90","","DENSE, HILLS, HOT, JUNGLE, OVERWORLD"
318,"byg:wooded_grassland_plateau",0.70,rain,"0.40","","FOREST, OVERWORLD, PLAINS"
319,"byg:zelkova_forest_hills",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, HILLS, OVERWORLD"
320,"byg:flowering_meadow",0.80,rain,"0.80","","LUSH, OVERWORLD, PLAINS"
321,"byg:wooded_meadow",0.80,rain,"0.80","","FOREST, LUSH, OVERWORLD, PLAINS"
322,"byg:rocky_beach",0.25,rain,"0.40","","OVERWORLD"
323,"byg:snowy_rocky_black_beach",0.00,snow,"0.40","","BEACH, OVERWORLD, SNOWY"
324,"byg:snowy_black_beach",0.00,snow,"0.40","","BEACH, OVERWORLD, SNOWY"
325,"byg:white_beach",0.25,rain,"0.40","","BEACH, OVERWORLD"
326,"byg:rainbow_beach",0.85,rain,"0.75","","BEACH, OVERWORLD"
327,"byg:tropical_islands",0.95,rain,"0.90","","OVERWORLD"
328,"byg:warped_desert",0.80,-,"0.40","",""
329,"byg:sythian_torrids",0.80,-,"0.40","",""
330,"byg:glowstone_gardens",0.80,-,"0.40","",""
331,"byg:embur_bog",0.80,-,"0.40","",""
332,"byg:ivis_fields",0.80,-,"0.80","",""
333,"byg:araucaria_savanna",1.20,-,"0.00","DESERT","FOREST, OVERWORLD"
334,"byg:rose_fields",0.80,rain,"0.40","WARM","LUSH, OVERWORLD, PLAINS, RARE"
335,"byg:stone_forest",0.25,rain,"0.80","WARM","DENSE, OVERWORLD, PLATEAU"
336,"byg:twilight_valley",0.25,rain,"0.80","COOL","COLD, MAGICAL, OVERWORLD, WASTELAND"
337,"byg:basalt_barrera",0.85,rain,"0.75","","BEACH, OVERWORLD"
338,"byg:canyon_edge",1.50,-,"0.90","","OVERWORLD, WATER, WET"
339,"byg:araucaria_forest",1.20,-,"0.00","","DENSE, FOREST, OVERWORLD"
340,"byg:pointed_stone_forest",0.25,rain,"0.80","","FOREST, MOUNTAIN, OVERWORLD, PLATEAU"
341,"byg:twilight_valley_hills",0.25,rain,"0.80","","COLD, HILLS, MAGICAL, OVERWORLD, WASTELAND"
342,"byg:red_spruce_taiga",0.80,rain,"0.40","","COLD, CONIFEROUS, FOREST, OVERWORLD"
343,"byg:brimstone_caverns",0.80,-,"0.40","",""
344,"byg:crimson_gardens",0.80,-,"0.40","",""
345,"byg:magma_wastes",0.80,-,"0.40","",""
346,"byg:subzero_hypogeal",0.80,-,"0.40","",""
347,"byg:wailing_garth",0.80,-,"0.40","",""
348,"byg:withering_woods",0.80,-,"0.40","",""
349,"byg:weeping_mire",0.80,-,"0.40","",""
350,"byg:quartz_desert",0.80,-,"0.40","",""
351,"byg:nightshade_forest",0.80,-,"0.40","",""
352,"byg:ethereal_islands",0.80,-,"0.40","",""
353,"byg:viscal_isles",0.80,-,"0.40","",""
354,"byg:bulbis_gardens",0.80,-,"0.80","",""
355,"byg:shattered_desert",0.80,-,"0.80","",""
356,"byg:shulkren_forest",0.80,-,"0.40","",""
357,"byg:purpur_peaks",0.80,-,"0.80","",""
358,"byg:cryptic_wastes",0.80,-,"0.40","",""
359,"byg:canyons",1.50,-,"0.90","","MOUNTAIN, OVERWORLD, PLATEAU"
360,"byg:shattered_viscal_isles",0.80,-,"0.40","",""
361,"byg:bulbis_gardens_edge",0.80,-,"0.80","",""
362,"byg:ethereal_forest",0.80,-,"0.40","",""
363,"byg:ethereal_clearing",0.80,-,"0.40","",""
364,"byg:shattered_desert_isles",0.80,-,"0.40","",""
365,"byg:imparius_grove",0.80,-,"0.40","",""
366,"byg:imparius_clearing",0.80,-,"0.40","",""
367,"byg:skyris_highlands_clearing",0.25,rain,"0.80","","COLD, CONIFEROUS, MOUNTAIN, OVERWORLD"
368,"byg:skyris_peaks",0.25,rain,"0.80","","COLD, CONIFEROUS, MOUNTAIN, OVERWORLD"
369,"byg:skyris_steeps",0.25,rain,"0.80","","COLD, CONIFEROUS, MOUNTAIN, OVERWORLD"
370,"byg:guiana_springs",0.95,rain,"0.90","","FOREST, JUNGLE, OVERWORLD"
371,"byg:dummy",0.70,rain,"0.40","","OVERWORLD"
372,"the_afterlight:shadow_mire",0.50,-,"0.00","",""
373,"the_afterlight:shadow_forest",0.50,-,"0.00","",""
374,"the_afterlight:moonlight_swamp",0.50,-,"0.00","",""
375,"the_afterlight:moonlight_lowlands",0.30,-,"0.00","",""
376,"the_afterlight:moonlight_highlands",0.30,-,"0.00","",""
377,"the_afterlight:moonlight_forest",0.50,-,"0.00","",""
378,"terraforged:bryce",2.00,-,"0.00","DESERT","DRY, MESA, OVERWORLD, SANDY"
379,"terraforged:cold_steppe",0.20,snow,"0.03","COOL","DENSE, FOREST, OVERWORLD, RARE"
380,"terraforged:cold_marshland",0.20,snow,"0.50","ICY","COLD, CONIFEROUS, FOREST, OVERWORLD, SNOWY"
381,"terraforged:fir_forest",0.25,rain,"0.80","COOL","COLD, CONIFEROUS, FOREST, OVERWORLD"
382,"terraforged:flower_plains",0.70,rain,"0.80","COOL","FOREST, HILLS, OVERWORLD, RARE"
383,"terraforged:frozen_lake",0.00,snow,"0.50","ICY","COLD, OVERWORLD, RIVER, SNOWY, WATER"
384,"terraforged:frozen_marsh",0.15,snow,"0.15","ICY","COLD, CONIFEROUS, FOREST, OVERWORLD, SNOWY"
385,"terraforged:lake",0.50,rain,"0.50","COOL","OVERWORLD, RIVER, WATER"
386,"terraforged:marshland",0.70,rain,"0.90","COOL","OVERWORLD, SWAMP, WET"
387,"terraforged:savanna_scrub",1.20,-,"0.00","WARM","HOT, OVERWORLD, PLAINS, SAVANNA, SPARSE"
388,"terraforged:shattered_savanna_scrub",1.10,-,"0.00","WARM","DRY, HOT, MOUNTAIN, OVERWORLD, RARE, SAVANNA, SPARSE"
389,"terraforged:snowy_fir_forest",0.15,snow,"0.15","ICY","COLD, CONIFEROUS, FOREST, OVERWORLD, SNOWY"
390,"terraforged:snowy_taiga_scrub",0.15,snow,"0.15","ICY","COLD, CONIFEROUS, FOREST, OVERWORLD, SNOWY"
391,"terraforged:steppe",1.20,-,"0.05","COOL","DENSE, FOREST, OVERWORLD, RARE"
392,"terraforged:stone_forest",0.95,rain,"0.90","WARM","DENSE, HOT, JUNGLE, OVERWORLD, WET"
393,"terraforged:taiga_scrub",0.25,rain,"0.80","COOL","COLD, CONIFEROUS, FOREST, OVERWORLD"
394,"terraforged:warm_beach",1.00,rain,"0.50","WARM","HOT, OCEAN, OVERWORLD, WATER"
395,"ars_nouveau:archwood_forest",0.70,rain,"0.80","COOL","OVERWORLD"
396,"environmental:marsh",0.80,rain,"0.90","WARM","OVERWORLD, PLAINS, SWAMP, WET"
397,"environmental:mushroom_marsh",0.80,rain,"0.90","WARM","OVERWORLD, PLAINS, RARE, SWAMP, WET"
398,"environmental:blossom_woods",0.75,rain,"0.80","WARM","FOREST, OVERWORLD, RARE"
399,"environmental:blossom_hills",0.75,rain,"0.80","WARM","FOREST, HILLS, OVERWORLD, RARE"
400,"environmental:blossom_highlands",0.75,rain,"0.80","WARM","FOREST, MOUNTAIN, OVERWORLD, RARE"
401,"environmental:blossom_valleys",0.75,rain,"0.80","WARM","FOREST, OVERWORLD, PLAINS, RARE"
402,"endergetic:poise_forest",0.50,-,"0.50","","END, FOREST, MAGICAL"
403,"autumnity:maple_forest",0.70,rain,"0.80","COOL","FOREST, OVERWORLD"
404,"autumnity:maple_forest_hills",0.70,rain,"0.80","COOL","FOREST, HILLS, OVERWORLD, RARE"
405,"autumnity:pumpkin_fields",0.80,rain,"0.40","COOL","OVERWORLD, PLAINS, RARE, SPARSE"
406,"autumnity:yellow_spotted_forest",0.70,rain,"0.80","","FOREST, OVERWORLD"
407,"autumnity:orange_spotted_dark_forest",0.70,rain,"0.80","","DENSE, FOREST, OVERWORLD, RARE, SPOOKY"
408,"autumnity:red_spotted_taiga",0.25,rain,"0.80","","COLD, CONIFEROUS, FOREST, OVERWORLD"
409,"traverse:snowy_coniferous_forest",-0.50,snow,"0.90","COOL","COLD, CONIFEROUS, FOREST, OVERWORLD, SNOWY"
410,"traverse:autumnal_woods",0.80,rain,"0.40","COOL","FOREST, OVERWORLD"
411,"traverse:coniferous_forest",0.60,rain,"0.90","COOL","CONIFEROUS, FOREST, OVERWORLD"
412,"traverse:wooded_plateau",0.80,rain,"0.20","",""
413,"traverse:woodlands",0.80,rain,"0.40","COOL","FOREST, OVERWORLD"
414,"traverse:desert_shrubland",2.00,-,"0.00","DESERT","DEAD, DRY, HOT, OVERWORLD, SANDY"
415,"traverse:snowy_coniferous_wooded_hills",-0.50,snow,"0.90","",""
416,"traverse:mini_jungle",0.95,rain,"0.90","WARM","DENSE, HOT, JUNGLE, OVERWORLD, WET"
417,"traverse:coniferous_wooded_hills",0.60,rain,"0.90","",""
418,"traverse:autumnal_wooded_hills",0.80,rain,"0.40","",""
419,"traverse:rocky_edge",0.80,rain,"0.20","",""
420,"traverse:snowy_high_coniferous_forest",-0.60,snow,"0.90","COOL","COLD, CONIFEROUS, FOREST, HILLS, MOUNTAIN, OVERWORLD, SNOWY"
421,"traverse:wooded_island",0.80,rain,"0.80","",""
422,"traverse:lush_swamp",0.80,rain,"0.90","",""
423,"traverse:meadow",0.80,rain,"0.70","COOL","LUSH, OVERWORLD, PLAINS, WET"
424,"traverse:cliffs",0.30,rain,"0.40","WARM","MOUNTAIN, OVERWORLD"
425,"traverse:high_coniferous_forest",0.30,rain,"0.90","COOL","COLD, FOREST, HILLS, MOUNTAIN, OVERWORLD"
426,"traverse:snowy_cliffs",0.22,rain,"0.40","ICY","MOUNTAIN, OVERWORLD"
427,"traverse:arid_highlands",2.00,-,"0.00","DESERT","DRY, HILLS, HOT, MOUNTAIN, OVERWORLD, SPARSE"
428,"traverse:plains_plateau",0.80,rain,"0.20","COOL","HILLS, OVERWORLD, PLAINS"
429,"traverse:rolling_hills",0.50,rain,"0.80","COOL","HILLS, OVERWORLD, PLAINS"
430,"abundance:lavender_fields",0.80,rain,"0.60","WARM","DENSE, LUSH, OVERWORLD, PLAINS"
431,"abundance:lavender_forest",0.80,rain,"0.60","WARM","FOREST, LUSH, OVERWORLD"
432,"abundance:nemophila_fields",0.70,rain,"0.75","WARM","DENSE, LUSH, OVERWORLD, PLAINS"
433,"ars_nouveau:blazing_archwood_forest",1.00,rain,"0.00","",""
434,"bloodmagic:none",1.00,-,"1.00","",""
